Ls [Deg]	OMEGA pressure [Pa]	MCD pressure [Pa]
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
215.384003	569.836947	552.563049
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
216.938004	552.109977	560.616516
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
218.147003	545.765275	560.880188
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
218.320007	554.310542	564.292664
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
219.011993	585.803007	553.885071
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
219.705002	580.144081	543.805481
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
220.225006	456.530580	564.045105
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
221.436005	561.401268	568.994629
221.440002	592.815922	557.783325
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
223.001999	539.810881	563.379822
223.005997	586.255945	555.555359
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
223.703003	530.204221	542.767334
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
225.098007	526.056613	563.971802
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
225.623001	563.006227	545.704956
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
226.671997	552.621981	560.528015
226.675995	568.176655	572.501404
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
226.847000	522.442334	567.291809
226.850998	547.334107	573.889893
nan	nan	nan
nan	nan	nan
nan	nan	nan
227.893997	596.232847	574.584534
227.897995	583.330464	574.617859
230.705994	610.531485	563.781555
230.712006	580.991479	578.357788
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
231.057999	559.108838	572.562744
231.061996	556.148838	587.640686
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
231.757996	606.245285	578.866638
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
231.934006	587.523816	580.411438
231.938004	585.924461	569.588867
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
232.285995	561.705805	571.725891
232.289993	545.491457	558.974365
232.294006	571.596787	583.247803
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
232.466003	610.140824	576.567078
232.470001	572.607897	579.534485
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
233.171005	580.785300	566.831726
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
239.889999	552.557642	580.625122
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
242.899994	573.849646	582.125244
242.904007	600.478124	592.988770
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
243.610001	590.687794	579.311157
243.613998	585.059256	596.400635
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
243.798004	624.562212	616.196228
nan	nan	nan
nan	nan	nan
nan	nan	nan
243.964005	581.561751	572.863281
243.968994	577.926663	602.785461
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
244.319000	606.362318	577.506409
244.324005	624.621689	588.296753
244.326996	594.536041	613.757446
nan	nan	nan
nan	nan	nan
244.669998	614.053049	595.926636
244.673996	566.283654	583.033386
244.679001	564.371560	594.355408
244.682007	626.467076	616.325806
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
245.384995	606.656011	588.915894
245.389008	601.615947	590.036865
245.391998	585.912334	604.361938
245.395996	614.915320	619.786194
nan	nan	nan
nan	nan	nan
245.917007	567.834390	574.643250
245.921997	567.308082	601.207825
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
246.102005	580.767496	609.398682
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
246.272995	615.703459	574.139099
246.276993	577.721842	593.119385
246.279999	583.141398	613.032776
246.283997	581.518650	607.856201
nan	nan	nan
nan	nan	nan
nan	nan	nan
246.804993	608.276347	582.643372
246.809998	610.217141	587.121887
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
247.337997	590.869196	584.254761
247.343002	588.465332	579.474731
247.345993	580.260142	610.143066
247.348999	582.252399	611.914062
nan	nan	nan
nan	nan	nan
nan	nan	nan
248.227005	580.687521	590.354614
248.231003	548.561884	597.495667
248.233994	594.220740	615.622864
248.238007	583.554608	606.859070
nan	nan	nan
nan	nan	nan
nan	nan	nan
248.582001	597.882126	586.663879
248.585999	588.647472	592.150818
248.589005	598.013200	605.877747
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
248.759995	602.627837	577.174988
248.764008	611.710548	586.691162
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
