Local Time [hour]	OMEGA Normalized Pressure [%]	MCD Normalized Pressure [%]
15.258072	-6.393948	-3.993153
15.258393	-5.885057	-3.993379
15.258826	-9.169631	-3.993640
15.259207	-9.168431	-3.993857
15.259580	-9.781582	-3.993988
15.259960	-9.776816	-3.994173
15.260387	-8.961060	-3.994363
15.260766	-9.675009	-3.994520
15.261140	-5.292678	-3.994652
15.257000	-10.561700	-3.992272
15.257266	-9.568400	-3.992481
15.258072	-9.013172	-3.992885
15.258826	-9.971596	-3.993320
15.259953	-9.869006	-3.993853
15.260387	-9.267257	-3.994051
15.260766	-4.583716	-3.994235
15.261140	-9.668231	-3.994401
15.261520	-8.359612	-3.994516
15.256406	-10.355000	-3.992305
15.256458	-10.344947	-3.992231
15.256993	-10.692800	-3.992150
15.257639	-6.240237	-3.992421
15.258072	-10.324599	-3.992697
15.259199	-9.355169	-3.993146
15.259580	-9.213499	-3.993406
15.259953	-9.646223	-3.993563
15.260332	-8.848526	-3.993728
15.260759	-9.864849	-3.993985
15.261140	-5.086829	-3.994154
15.261893	-10.068558	-3.994474
15.256458	-6.845990	-3.992057
15.256458	-6.295815	-3.992072
15.256993	-10.031081	-3.991994
15.257319	-10.137752	-3.992090
15.257693	-10.532004	-3.992291
15.258072	-9.770954	-3.992374
15.258393	-9.316848	-3.992521
15.258826	-9.708179	-3.992672
15.259199	-5.247013	-3.992839
15.259580	-9.741261	-3.993038
15.259953	-8.958399	-3.993215
15.260387	-8.781552	-3.993468
15.260759	-10.134985	-3.993729
15.261140	-5.799964	-3.993897
15.261513	-9.403206	-3.994040
15.261946	-9.768374	-3.994200
15.256453	-9.809091	-3.991870
15.256453	-10.343576	-3.991856
15.257046	-10.448055	-3.991840
15.257639	-9.064433	-3.992033
15.258013	-9.516323	-3.992139
15.258446	-10.497005	-3.992231
15.258819	-5.716488	-3.992331
15.259199	-8.908234	-3.992491
15.259573	-9.919324	-3.992663
15.259953	-9.618729	-3.992911
15.260387	-5.446714	-3.993173
15.260759	-9.741671	-3.993377
15.261140	-8.247860	-3.993589
15.261946	-10.013119	-3.993962
15.256399	-10.581557	-3.991586
15.256993	-6.061676	-3.991632
15.257693	-9.157405	-3.991810
15.258066	-9.762877	-3.991842
15.258393	-9.898228	-3.991915
15.258819	-9.614727	-3.992030
15.259199	-10.101827	-3.992159
15.259573	-10.010895	-3.992406
15.259953	-5.952029	-3.992652
15.260759	-10.245143	-3.993174
15.261140	-9.385529	-3.993395
15.261946	-5.427434	-3.993694
15.256399	-10.105876	-3.991306
15.256453	-6.814586	-3.991272
15.257046	-9.568579	-3.991326
15.257259	-9.454438	-3.991340
15.257639	-10.254439	-3.991487
15.258066	-10.107468	-3.991586
15.258446	-5.626237	-3.991726
15.258819	-9.313969	-3.991898
15.259199	-10.368190	-3.991972
15.259573	-8.925793	-3.992245
15.259953	-10.283115	-3.992489
15.260326	-9.807848	-3.992653
15.260706	-9.617116	-3.992877
15.261133	-9.036402	-3.993167
15.261513	-9.043907	-3.993272
15.261946	-9.226926	-3.993434
15.256453	-9.442022	-3.990937
15.256453	-9.421704	-3.990965
15.256993	-6.090025	-3.990959
15.257259	-9.608404	-3.991017
15.257633	-9.881386	-3.991192
15.258066	-9.889080	-3.991353
15.258440	-8.337447	-3.991523
15.258819	-9.605902	-3.991628
15.259192	-10.335459	-3.991858
15.259573	-6.383002	-3.992068
15.259953	-9.280204	-3.992258
15.260380	-9.278254	-3.992530
15.260759	-9.317367	-3.992652
15.261513	-9.409850	-3.993021
15.261887	-9.863902	-3.993174
15.256453	-9.635507	-3.990640
15.256453	-10.391148	-3.990607
15.257046	-10.349061	-3.990609
15.257313	-9.629329	-3.990762
15.257686	-9.336886	-3.990956
15.258066	-5.133095	-3.991142
15.258440	-9.231682	-3.991302
15.258819	-9.899333	-3.991496
15.259192	-10.752951	-3.991708
15.259573	-10.027151	-3.991869
15.259946	-9.050864	-3.992051
15.260326	-9.654669	-3.992222
15.260759	-4.703119	-3.992433
15.261513	-8.648628	-3.992746
15.261940	-9.349736	-3.992952
15.256399	-6.155355	-3.990269
15.256453	-6.442177	-3.990249
15.257040	-9.753847	-3.990254
15.257259	-11.007372	-3.990392
15.257686	-10.582936	-3.990604
15.258066	-10.172701	-3.990855
15.258819	-6.644184	-3.991291
15.259192	-10.284261	-3.991489
15.259573	-10.307036	-3.991647
15.259946	-9.274142	-3.991825
15.260326	-9.463987	-3.992024
15.261133	-9.243378	-3.992357
15.261513	-9.442380	-3.992493
15.256446	-6.158848	-3.989950
15.256446	-10.566073	-3.989973
15.256986	-10.211493	-3.989893
15.257633	-10.272611	-3.990336
15.258066	-9.950110	-3.990615
15.258386	-10.065104	-3.990796
15.258819	-6.899809	-3.991079
15.259192	-10.450401	-3.991304
15.259946	-10.628246	-3.991584
15.260380	-9.298977	-3.991777
15.260754	-9.625253	-3.991943
15.261133	-9.509914	-3.992131
15.261507	-9.383425	-3.992263
15.261940	-5.164905	-3.992439
15.256393	-10.494417	-3.989787
15.257040	-10.372309	-3.989845
15.257633	-10.121920	-3.990136
15.258440	-6.197570	-3.990622
15.258813	-10.125342	-3.990801
15.259192	-9.726881	-3.991035
15.259946	-11.137876	-3.991346
15.260380	-9.747615	-3.991508
15.260754	-5.607199	-3.991667
15.261133	-9.071453	-3.991827
15.261507	-9.557270	-3.992011
15.261940	-10.540702	-3.992172
15.256986	-10.196436	-3.989596
15.257252	-5.955244	-3.989750
15.258386	-5.289901	-3.990380
15.258813	-9.005478	-3.990570
15.259192	-9.840774	-3.990768
15.259565	-6.220973	-3.990872
15.259946	-9.116960	-3.991087
15.260372	-6.606439	-3.991277
15.260754	-5.877329	-3.991422
