Local Time [hour]	Ptides [%]	Ls [deg]
8.000000	4.303636	230.000000
9.000000	3.562228	230.000000
10.000000	2.821569	230.000000
11.000000	1.407779	230.000000
12.000000	0.000000	230.000000
13.000000	-1.512713	230.000000
14.000000	-3.022576	230.000000
15.000000	-3.869978	230.000000
16.000000	-4.716880	230.000000
17.000000	-4.276721	230.000000
18.000000	-3.836365	230.000000
19.000000	-1.859998	230.000000
20.000000	0.117412	230.000000
21.000000	0.711429	230.000000
22.000000	1.306647	230.000000
23.000000	1.631051	230.000000
24.000000	1.956587	230.000000
0.000000	1.804173	240.000000
1.000000	1.767008	240.000000
2.000000	1.730445	240.000000
3.000000	1.616576	240.000000
4.000000	1.502951	240.000000
5.000000	2.225598	240.000000
6.000000	2.948489	240.000000
7.000000	3.702856	240.000000
8.000000	4.457207	240.000000
9.000000	3.726682	240.000000
10.000000	2.997030	240.000000
11.000000	1.495309	240.000000
12.000000	0.000000	240.000000
13.000000	-1.601858	240.000000
14.000000	-3.200663	240.000000
15.000000	-4.093266	240.000000
16.000000	-4.985390	240.000000
17.000000	-4.493718	240.000000
18.000000	-4.001793	240.000000
19.000000	-2.069469	240.000000
20.000000	-0.135941	240.000000
21.000000	0.543023	240.000000
22.000000	1.223366	240.000000
23.000000	1.513150	240.000000
24.000000	1.804173	240.000000
0.000000	1.656952	250.000000
1.000000	1.679085	250.000000
2.000000	1.701873	250.000000
3.000000	1.693112	250.000000
4.000000	1.684566	250.000000
5.000000	2.500578	250.000000
6.000000	3.316788	250.000000
7.000000	3.961740	250.000000
8.000000	4.606667	250.000000
9.000000	3.886565	250.000000
10.000000	3.167473	250.000000
11.000000	1.580344	250.000000
12.000000	0.000000	250.000000
13.000000	-1.688433	250.000000
14.000000	-3.373595	250.000000
15.000000	-4.310108	250.000000
16.000000	-5.246078	250.000000
17.000000	-4.704372	250.000000
18.000000	-4.162321	250.000000
19.000000	-2.272651	250.000000
20.000000	-0.381592	250.000000
21.000000	0.379926	250.000000
22.000000	1.143024	250.000000
23.000000	1.399324	250.000000
24.000000	1.656952	250.000000
0.000000	1.600672	260.000000
1.000000	1.680505	260.000000
2.000000	1.761038	260.000000
3.000000	1.816417	260.000000
4.000000	1.872038	260.000000
5.000000	2.681080	260.000000
6.000000	3.490261	260.000000
7.000000	4.045695	260.000000
8.000000	4.601051	260.000000
9.000000	3.875656	260.000000
10.000000	3.151262	260.000000
11.000000	1.572180	260.000000
12.000000	0.000000	260.000000
13.000000	-1.668287	260.000000
14.000000	-3.333286	260.000000
15.000000	-4.264892	260.000000
16.000000	-5.195971	260.000000
17.000000	-4.654800	260.000000
18.000000	-4.113284	260.000000
19.000000	-2.284511	260.000000
20.000000	-0.454253	260.000000
21.000000	0.318488	260.000000
22.000000	1.092963	260.000000
23.000000	1.346080	260.000000
24.000000	1.600672	260.000000
0.000000	1.632092	270.000000
1.000000	1.770270	270.000000
2.000000	1.909223	270.000000
3.000000	1.990570	270.000000
4.000000	2.072118	270.000000
5.000000	2.774184	270.000000
6.000000	3.476355	270.000000
7.000000	3.958486	270.000000
8.000000	4.440601	270.000000
9.000000	3.694088	270.000000
10.000000	2.948550	270.000000
11.000000	1.470963	270.000000
12.000000	0.000000	270.000000
13.000000	-1.541127	270.000000
14.000000	-3.079139	270.000000
15.000000	-3.957111	270.000000
16.000000	-4.834562	270.000000
17.000000	-4.344336	270.000000
18.000000	-3.853832	270.000000
19.000000	-2.106538	270.000000
20.000000	-0.357843	270.000000
21.000000	0.355537	270.000000
22.000000	1.070623	270.000000
23.000000	1.350574	270.000000
24.000000	1.632092	270.000000
0.000000	1.664272	280.000000
1.000000	1.862174	280.000000
2.000000	2.060888	280.000000
3.000000	2.168827	280.000000
4.000000	2.276952	280.000000
5.000000	2.869535	280.000000
6.000000	3.462207	280.000000
7.000000	3.869362	280.000000
8.000000	4.276499	280.000000
9.000000	3.508372	280.000000
10.000000	2.741181	280.000000
11.000000	1.367406	280.000000
12.000000	0.000000	280.000000
13.000000	-1.410956	280.000000
14.000000	-2.818989	280.000000
15.000000	-3.642097	280.000000
16.000000	-4.464666	280.000000
17.000000	-4.026575	280.000000
18.000000	-3.588255	280.000000
19.000000	-1.924319	280.000000
20.000000	-0.259111	280.000000
21.000000	0.393533	280.000000
22.000000	1.047855	280.000000
23.000000	1.355224	280.000000
24.000000	1.664272	280.000000
0.000000	1.617426	290.000000
1.000000	1.845652	290.000000
2.000000	2.074823	290.000000
3.000000	2.185333	290.000000
4.000000	2.296068	290.000000
5.000000	2.832162	290.000000
6.000000	3.368336	290.000000
7.000000	3.779911	290.000000
8.000000	4.191451	290.000000
9.000000	3.414939	290.000000
10.000000	2.639334	290.000000
11.000000	1.316522	290.000000
12.000000	0.000000	290.000000
13.000000	-1.351302	290.000000
14.000000	-2.699756	290.000000
15.000000	-3.505593	290.000000
16.000000	-4.310901	290.000000
17.000000	-3.925255	290.000000
18.000000	-3.539429	290.000000
19.000000	-1.886838	290.000000
20.000000	-0.233052	290.000000
21.000000	0.365727	290.000000
22.000000	0.966150	290.000000
23.000000	1.290916	290.000000
24.000000	1.617426	290.000000
0.000000	1.488711	300.000000
1.000000	1.716850	300.000000
2.000000	1.945966	300.000000
3.000000	2.034107	300.000000
4.000000	2.122521	300.000000
5.000000	2.657016	300.000000
6.000000	3.191592	300.000000
7.000000	3.689951	300.000000
8.000000	4.188263	300.000000
9.000000	3.417093	300.000000
10.000000	2.646891	300.000000
11.000000	1.320282	300.000000
12.000000	0.000000	300.000000
13.000000	-1.364672	300.000000
14.000000	-2.726458	300.000000
15.000000	-3.554042	300.000000
16.000000	-4.381051	300.000000
17.000000	-4.048301	300.000000
18.000000	-3.715368	300.000000
19.000000	-1.999395	300.000000
20.000000	-0.282307	300.000000
21.000000	0.269753	300.000000
22.000000	0.823330	300.000000
23.000000	1.155185	300.000000
24.000000	1.488711	300.000000
0.000000	1.356790	310.000000
1.000000	1.584757	310.000000
2.000000	1.813808	310.000000
3.000000	1.878940	310.000000
4.000000	1.944396	310.000000
5.000000	2.477177	310.000000
6.000000	3.010060	310.000000
7.000000	3.597536	310.000000
8.000000	4.184938	310.000000
9.000000	3.419272	310.000000
10.000000	2.654598	310.000000
11.000000	1.324099	310.000000
12.000000	0.000000	310.000000
13.000000	-1.378396	310.000000
14.000000	-2.753856	310.000000
15.000000	-3.603750	310.000000
16.000000	-4.453088	310.000000
17.000000	-4.174612	310.000000
18.000000	-3.895960	310.000000
19.000000	-2.114936	310.000000
20.000000	-0.332791	310.000000
21.000000	0.171336	310.000000
22.000000	0.676853	310.000000
23.000000	1.015998	310.000000
24.000000	1.356790	310.000000
0.000000	1.353802	320.000000
1.000000	1.568957	320.000000
2.000000	1.785115	320.000000
3.000000	1.852427	320.000000
4.000000	1.920086	320.000000
5.000000	2.391556	320.000000
6.000000	2.863184	320.000000
7.000000	3.497315	320.000000
8.000000	4.131389	320.000000
9.000000	3.346831	320.000000
10.000000	2.563116	320.000000
11.000000	1.278556	320.000000
12.000000	0.000000	320.000000
13.000000	-1.322638	320.000000
14.000000	-2.642437	320.000000
15.000000	-3.454376	320.000000
16.000000	-4.265752	320.000000
17.000000	-4.038832	320.000000
18.000000	-3.811790	320.000000
19.000000	-1.993394	320.000000
20.000000	-0.174070	320.000000
21.000000	0.228728	320.000000
22.000000	0.632726	320.000000
23.000000	0.992557	320.000000
24.000000	1.353802	320.000000
0.000000	1.482795	330.000000
1.000000	1.672429	330.000000
2.000000	1.862904	330.000000
3.000000	1.958170	330.000000
4.000000	2.053823	330.000000
5.000000	2.403873	330.000000
6.000000	2.754151	330.000000
7.000000	3.390679	330.000000
8.000000	4.027168	330.000000
9.000000	3.198957	330.000000
10.000000	2.371294	330.000000
11.000000	1.183078	330.000000
12.000000	0.000000	330.000000
13.000000	-1.196497	330.000000
14.000000	-2.390417	330.000000
15.000000	-3.103238	330.000000
16.000000	-3.815493	330.000000
17.000000	-3.636615	330.000000
18.000000	-3.457623	330.000000
19.000000	-1.631010	330.000000
20.000000	0.196358	330.000000
21.000000	0.444693	330.000000
22.000000	0.693887	330.000000
23.000000	1.087803	330.000000
24.000000	1.482795	330.000000
0.000000	1.612483	340.000000
1.000000	1.776532	340.000000
2.000000	1.941255	340.000000
3.000000	2.064603	340.000000
4.000000	2.188377	340.000000
5.000000	2.416311	340.000000
6.000000	2.644462	340.000000
7.000000	3.283368	340.000000
8.000000	3.922254	340.000000
9.000000	3.050056	340.000000
10.000000	2.178162	340.000000
11.000000	1.086909	340.000000
12.000000	0.000000	340.000000
13.000000	-1.069550	340.000000
14.000000	-2.136730	340.000000
15.000000	-2.749806	340.000000
16.000000	-3.362333	340.000000
17.000000	-3.231862	340.000000
18.000000	-3.101334	340.000000
19.000000	-1.266467	340.000000
20.000000	0.568894	340.000000
21.000000	0.661784	340.000000
22.000000	0.755272	340.000000
23.000000	1.183489	340.000000
24.000000	1.612483	340.000000
0.000000	1.517965	350.000000
1.000000	1.695579	350.000000
2.000000	1.873724	350.000000
3.000000	1.995766	350.000000
4.000000	2.118224	350.000000
5.000000	2.264638	350.000000
6.000000	2.411308	350.000000
7.000000	3.043631	350.000000
8.000000	3.675972	350.000000
9.000000	2.831165	350.000000
10.000000	1.986510	350.000000
11.000000	0.991467	350.000000
