Ls min [deg]	Ls max [deg]	Latitude min [deg]	Latitude max [deg]	Local Time min [hour]	Local Time max [hour]	Local Time center [hour]	OMEGA Median Tide [%]	OMEGA Std [%]	MCD Median Tide [%]	MCD Std [%]	Number of observations
0.000000	90.000000	-60.000000	-30.000000	16.000000	17.000000	16.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-60.000000	-30.000000	17.000000	18.000000	17.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-60.000000	-30.000000	18.000000	19.000000	18.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-60.000000	-30.000000	19.000000	20.000000	19.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-90.000000	-60.000000	6.000000	7.000000	6.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-90.000000	-60.000000	7.000000	8.000000	7.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-90.000000	-60.000000	8.000000	9.000000	8.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-90.000000	-60.000000	9.000000	10.000000	9.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-90.000000	-60.000000	10.000000	11.000000	10.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-90.000000	-60.000000	11.000000	12.000000	11.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-90.000000	-60.000000	12.000000	13.000000	12.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-90.000000	-60.000000	13.000000	14.000000	13.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-90.000000	-60.000000	14.000000	15.000000	14.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-90.000000	-60.000000	15.000000	16.000000	15.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-90.000000	-60.000000	16.000000	17.000000	16.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-90.000000	-60.000000	17.000000	18.000000	17.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-90.000000	-60.000000	18.000000	19.000000	18.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-90.000000	-60.000000	19.000000	20.000000	19.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	60.000000	90.000000	6.000000	7.000000	6.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	60.000000	90.000000	7.000000	8.000000	7.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	60.000000	90.000000	8.000000	9.000000	8.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	60.000000	90.000000	9.000000	10.000000	9.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	60.000000	90.000000	10.000000	11.000000	10.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	60.000000	90.000000	11.000000	12.000000	11.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	60.000000	90.000000	12.000000	13.000000	12.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	60.000000	90.000000	13.000000	14.000000	13.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	60.000000	90.000000	14.000000	15.000000	14.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	60.000000	90.000000	15.000000	16.000000	15.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	60.000000	90.000000	16.000000	17.000000	16.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	60.000000	90.000000	17.000000	18.000000	17.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	60.000000	90.000000	18.000000	19.000000	18.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	60.000000	90.000000	19.000000	20.000000	19.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	30.000000	60.000000	6.000000	7.000000	6.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	30.000000	60.000000	7.000000	8.000000	7.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	30.000000	60.000000	8.000000	9.000000	8.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	30.000000	60.000000	9.000000	10.000000	9.500000	-0.951231	6.485398	0.161770	0.191686	2039.000000
90.000000	180.000000	30.000000	60.000000	10.000000	11.000000	10.500000	-1.936793	2.996431	0.351387	0.397890	20756.000000
90.000000	180.000000	30.000000	60.000000	11.000000	12.000000	11.500000	-2.379248	2.902401	0.030291	0.130304	8220.000000
90.000000	180.000000	30.000000	60.000000	12.000000	13.000000	12.500000	-5.377305	2.061788	0.149417	0.097920	3364.000000
90.000000	180.000000	30.000000	60.000000	13.000000	14.000000	13.500000	-6.026277	3.936130	0.139062	0.241561	27803.000000
90.000000	180.000000	30.000000	60.000000	14.000000	15.000000	14.500000	-6.859931	1.915544	-0.581733	0.162403	26102.000000
90.000000	180.000000	30.000000	60.000000	15.000000	16.000000	15.500000	-6.091334	3.667840	-0.518362	0.453105	28096.000000
90.000000	180.000000	30.000000	60.000000	16.000000	17.000000	16.500000	-8.818368	2.926533	-0.906253	0.463230	3090.000000
90.000000	180.000000	30.000000	60.000000	17.000000	18.000000	17.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	30.000000	60.000000	18.000000	19.000000	18.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	30.000000	60.000000	19.000000	20.000000	19.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	0.000000	30.000000	6.000000	7.000000	6.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	0.000000	30.000000	7.000000	8.000000	7.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	0.000000	30.000000	8.000000	9.000000	8.500000	6.687386	3.871620	1.528059	0.438614	1400.000000
90.000000	180.000000	0.000000	30.000000	9.000000	10.000000	9.500000	3.249310	4.182004	1.756146	0.817237	16332.000000
90.000000	180.000000	0.000000	30.000000	10.000000	11.000000	10.500000	1.323642	5.275217	0.817180	0.674347	44772.000000
90.000000	180.000000	0.000000	30.000000	11.000000	12.000000	11.500000	-2.394116	3.245643	0.021312	0.095501	6651.000000
90.000000	180.000000	0.000000	30.000000	12.000000	13.000000	12.500000	-0.725710	4.157325	0.029341	0.073071	13595.000000
90.000000	180.000000	0.000000	30.000000	13.000000	14.000000	13.500000	-5.763343	3.938314	-1.000586	0.640290	54262.000000
90.000000	180.000000	0.000000	30.000000	14.000000	15.000000	14.500000	-3.465750	2.398946	-1.511454	0.605529	18454.000000
90.000000	180.000000	0.000000	30.000000	15.000000	16.000000	15.500000	-2.461236	3.034542	-1.138383	0.405337	19048.000000
90.000000	180.000000	0.000000	30.000000	16.000000	17.000000	16.500000	-5.882629	2.853623	-1.447787	0.927944	333.000000
90.000000	180.000000	0.000000	30.000000	17.000000	18.000000	17.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	0.000000	30.000000	18.000000	19.000000	18.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	0.000000	30.000000	19.000000	20.000000	19.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-30.000000	0.000000	6.000000	7.000000	6.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-30.000000	0.000000	7.000000	8.000000	7.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-30.000000	0.000000	8.000000	9.000000	8.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-30.000000	0.000000	9.000000	10.000000	9.500000	1.079050	3.455398	3.057255	0.955461	598.000000
90.000000	180.000000	-30.000000	0.000000	10.000000	11.000000	10.500000	1.947907	5.259832	0.824138	0.547059	24042.000000
90.000000	180.000000	-30.000000	0.000000	11.000000	12.000000	11.500000	-0.178377	3.923795	0.568645	0.362730	42998.000000
90.000000	180.000000	-30.000000	0.000000	12.000000	13.000000	12.500000	-1.898062	4.107994	-0.265452	0.284811	53389.000000
90.000000	180.000000	-30.000000	0.000000	13.000000	14.000000	13.500000	-1.965949	4.895870	-1.076606	0.439581	32138.000000
90.000000	180.000000	-30.000000	0.000000	14.000000	15.000000	14.500000	-3.284248	6.083321	-0.686492	1.142748	1441.000000
90.000000	180.000000	-30.000000	0.000000	15.000000	16.000000	15.500000	-7.333493	5.840475	-3.224489	0.943025	98.000000
90.000000	180.000000	-30.000000	0.000000	16.000000	17.000000	16.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-30.000000	0.000000	17.000000	18.000000	17.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-30.000000	0.000000	18.000000	19.000000	18.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-30.000000	0.000000	19.000000	20.000000	19.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-60.000000	-30.000000	6.000000	7.000000	6.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-60.000000	-30.000000	7.000000	8.000000	7.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-60.000000	-30.000000	8.000000	9.000000	8.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-60.000000	-30.000000	9.000000	10.000000	9.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-60.000000	-30.000000	10.000000	11.000000	10.500000	2.751310	3.924884	0.908957	0.358376	151.000000
90.000000	180.000000	-60.000000	-30.000000	11.000000	12.000000	11.500000	-3.556270	3.727219	0.004230	0.344382	107.000000
90.000000	180.000000	-60.000000	-30.000000	12.000000	13.000000	12.500000	-2.796317	2.509236	-0.009352	0.178538	135.000000
90.000000	180.000000	-60.000000	-30.000000	13.000000	14.000000	13.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-60.000000	-30.000000	14.000000	15.000000	14.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-60.000000	-30.000000	15.000000	16.000000	15.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-60.000000	-30.000000	16.000000	17.000000	16.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-60.000000	-30.000000	17.000000	18.000000	17.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-60.000000	-30.000000	18.000000	19.000000	18.500000	nan	nan	nan	nan	0.000000
90.000000	180.000000	-60.000000	-30.000000	19.000000	20.000000	19.500000	nan	nan	nan	nan	0.000000
